STT,ID_cau_VLSP,Nguon_ZH,Tham_chieu_VI,Ban_dich_He_A,Ban_dich_He_B
11,vi-zh-2022-test-0011,特别是对越南来说，2020年以来，越南经历了4波疫情，给社会经济的所有领域造成了严重影响，成为实施性别平等和妇女进步事业乃至性别平等国家战略目标的挑战。,"Riêng đối với Việt Nam, từ năm 2020 đến nay, Việt Nam đã trải qua 4 đợt bùng phát dịch, tác động nghiêm trọng tới tất cả các lĩnh vực của nền kinh tế - xã hội, gây thách thức cho việc thực hiện bình đẳng giới và vì sự tiến bộ phụ nữ cũng như việc triển khai thực hiện các mục tiêu chiến lược quốc gia về bình đẳng giới.","Đặc biệt đối với Việt Nam, kể từ năm 2020, Việt Nam đã trải qua 4 đợt dịch bệnh, gây ảnh hưởng nghiêm trọng đến mọi lĩnh vực kinh tế - xã hội, trở thành thách thức đối với việc thực hiện mục tiêu bình đẳng giới và tiến bộ của phụ nữ, cũng như các mục tiêu chiến lược quốc gia về bình đẳng giới.","Đặc biệt đối với Việt Nam, kể từ năm 2020, Việt Nam đã trải qua 4 đợt dịch bệnh, tác động nghiêm trọng đến mọi lĩnh vực của kinh tế xã hội và trở thành thách thức thực hiện sự nghiệp bình đẳng giới, vì sự tiến bộ của phụ nữ và thậm chí là mục tiêu chiến lược quốc gia về bình đẳng giới."
12,vi-zh-2022-test-0012,越南政府总理范明政10月20日上午在15届国会2次会议开幕式上做2021年经济社会情况及2022年经济社会发展计划草案报告，概述越南各领域取得的重要结果，其中包括新冠疫情防控工作。,"Báo cáo về tình hình kinh tế - xã hội năm 2021 dự kiến kế hoạch phát triển kinh tế xã hội năm 2022, tại phiên khai mạc kỳ họp thứ 2, Quốc hội khóa XV sáng 20/10, Thủ tướng Phạm Minh Chính khái quát lại những kết quả quan trọng mà Việt Nam đạt được trên các lĩnh vực, trong đó đặc biệt nhấn mạnh đến công tác phòng chống dịch COVID - 19.","Sáng ngày 20 tháng 10, tại lễ khai mạc kỳ họp thứ hai, Quốc hội khóa 15, Thủ tướng Chính phủ Việt Nam Phạm Minh Chính đã trình bày báo cáo về tình hình kinh tế - xã hội năm 2021 và kế hoạch phát triển kinh tế - xã hội năm 2022. Báo cáo đã khái quát những kết quả quan trọng đạt được trên các lĩnh vực của Việt Nam, trong đó có công tác phòng, chống dịch bệnh COVID-19.","Sáng 20/10, Thủ tướng Phạm Minh Chính đã báo cáo về tình hình kinh tế, xã hội năm 2021 và dự thảo kế hoạch phát triển kinh tế, xã hội năm 2022 tại lễ khai mạc kỳ họp thứ hai, Quốc hội lần thứ 15, nêu những kết quả quan trọng đạt được trên nhiều lĩnh vực ở Việt Nam, trong đó có công tác phòng, chống dịch bệnh vương miện mới."
13,vi-zh-2022-test-0013,集中复苏经济，维持增长动力,"Tập trung phục hồi kinh tế, duy trì các động lực tăng trưởng","Tập trung phục hồi kinh tế, duy trì động lực tăng trưởng",Tập trung phục hồi nền kinh tế và duy trì đà tăng trưởng
14,vi-zh-2022-test-0014,防疫工作是政府指导、调控工作的优先,"Công tác phòng, chống dịch COVID-19 là ưu tiên hàng đầu trong chỉ đạo, điều hành",Công tác phòng chống dịch bệnh là ưu tiên hàng đầu trong công tác chỉ đạo và điều tiết của chính phủ.,Công tác phòng chống dịch bệnh là ưu tiên trong hướng dẫn và quy định của chính phủ
15,vi-zh-2022-test-0015,"集中复苏经济，维持增长动力,不让增长动力减弱","Tập trung khôi phục kinh tế , duy trì động lực tăng trưởng , không để suy giảm động lực tăng trưởng","Tập trung phục hồi kinh tế, duy trì động lực tăng trưởng, không để động lực tăng trưởng suy yếu.","Tập trung phục hồi nền kinh tế, duy trì đà tăng trưởng, ngăn chặn đà tăng trưởng suy yếu"
16,vi-zh-2022-test-0016,范明政强调，今年最后几个月将集中防疫，制定安全、灵活路线图，有效控制疫情，克服疫情后果，恢复、发展经济社会。,"Thủ tướng Phạm Minh Chính khẳng định trong những tháng cuối năm, sẽ tập trung nỗ lực cao nhất cho phòng, chống dịch COVID-19, có lộ trình thích ứng an toàn, linh hoạt, phấn đấu kiểm soát hiệu quả dịch bệnh trên phạm vi toàn quốc để tập trung khắc phục hậu quả của dịch bệnh và khôi phục, phát triển kinh tế xã hội.","Phạm Minh Chính nhấn mạnh, những tháng cuối năm sẽ tập trung phòng chống dịch bệnh, xây dựng lộ trình an toàn, linh hoạt, kiểm soát hiệu quả dịch bệnh, khắc phục hậu quả dịch bệnh, phục hồi và phát triển kinh tế xã hội.","Fan Mingzheng nhấn mạnh, trong những tháng cuối năm nay, chúng ta sẽ tập trung vào công tác phòng chống dịch bệnh, xây dựng lộ trình an toàn và linh hoạt, kiểm soát dịch bệnh hiệu quả, khắc phục hậu quả của dịch bệnh, khôi phục và phát triển kinh tế, xã hội."
17,vi-zh-2022-test-0017,政府也灵活调整财政、货币及其他政策以保障宏观经济稳定，促进生产经营；开展切实、有效帮扶政策、机制。,"Chính phủ cũng sẽ điều chỉnh linh hoạt chính sách tài khóa, tiền tệ và các chính sách khác để giữ vững ổn định vĩ mô, bảo đảm các cân đối lớn, thúc đẩy sản xuất kinh doanh, tập trung ưu tiên triển khai các cơ chế, chính sách hỗ trợ thiết thực, hiệu quả .","Chính phủ cũng linh hoạt điều chỉnh các chính sách tài khóa, tiền tệ và các chính sách khác để đảm bảo ổn định kinh tế vĩ mô, thúc đẩy sản xuất kinh doanh; triển khai các chính sách, cơ chế hỗ trợ thiết thực, hiệu quả.","Chính phủ cũng đã điều chỉnh linh hoạt các chính sách tài khóa, tiền tệ và các chính sách khác nhằm bảo đảm ổn định kinh tế vĩ mô và thúc đẩy sản xuất kinh doanh; triển khai các chính sách, cơ chế hỗ trợ thiết thực, hiệu quả."
18,vi-zh-2022-test-0018,为实现16个指标，范明政提出12个主要任务和措施，其中包括灵活、有效实施防疫措施并复苏、发展经济社会；优先制定、完善体制，改革行政手续，改善营商投资环境。,"Để thực hiện 16 chỉ tiêu này là 12 nhiệm vụ, giải pháp chủ yếu, trong đó đầu tiên là tập trung thực hiện linh hoạt, hiệu quả mục tiêu vừa phòng, chống dịch COVID-19, vừa phục hồi, phát triển KTXH; tiếp đó là ưu tiên công tác xây dựng, hoàn thiện thể chế, tập trung tháo gỡ khó khăn, cải cách thủ tục hành chính, cải thiện môi trường đầu tư kinh doanh.","Để thực hiện 16 chỉ tiêu, Phạm Minh Chính đã đề xuất 12 nhiệm vụ và giải pháp trọng tâm, bao gồm việc triển khai linh hoạt, hiệu quả các biện pháp phòng chống dịch bệnh, đồng thời phục hồi và phát triển kinh tế - xã hội; ưu tiên xây dựng, hoàn thiện thể chế, cải cách thủ tục hành chính, cải thiện môi trường kinh doanh và đầu tư.","Để đạt được 16 chỉ số, Fan Mingzheng đề xuất 12 nhiệm vụ, biện pháp chính, bao gồm thực hiện linh hoạt, hiệu quả các biện pháp phòng chống dịch bệnh và phục hồi, phát triển kinh tế, xã hội; ưu tiên xây dựng và hoàn thiện hệ thống, cải cách thủ tục hành chính, cải thiện môi trường đầu tư, kinh doanh."
19,vi-zh-2022-test-0019,配套、高效开展对外活动，主动、积极融入国际，巩固越南在国际舞台上的地位和威望。,"Triển khai đồng bộ, hiệu quả hoạt động đối ngoại, chủ động, tích cực hội nhập quốc tế, góp phần củng cố vị thế, uy tín của Việt Nam trên trường quốc tế.","Tổ chức các hoạt động đối ngoại đồng bộ, hiệu quả, chủ động, tích cực hội nhập quốc tế, củng cố vị thế và uy tín của Việt Nam trên trường quốc tế.","Chúng ta sẽ thực hiện các hoạt động đối ngoại hỗ trợ và hiệu quả, chủ động, tích cực hội nhập quốc tế, củng cố vị thế và uy tín của Việt Nam trên trường quốc tế."
20,vi-zh-2022-test-0020,有效开展战略伙伴关系、全面伙伴关系框架及自贸协定。,"Tăng cường các hoạt động ngoại giao cấp cao, khai thác hiệu quả các khuôn khổ quan hệ đối tác chiến lược, đối tác toàn diện, các hiệp định thương mại tự do (FTA).","Triển khai hiệu quả quan hệ đối tác chiến lược, khuôn khổ quan hệ đối tác toàn diện và hiệp định thương mại tự do.","Triển khai hiệu quả các quan hệ đối tác chiến lược, khuôn khổ đối tác toàn diện và các hiệp định thương mại tự do."
21,vi-zh-2022-test-0021,进一步做好对外新闻工作、文化外交、海外越南人工作等”。,"Làm tốt hơn nữa công tác thông tin đối ngoại, ngoại giao văn hóa, công tác người Việt Nam ở nước ngoài và bảo hộ công dân"".","Tiếp tục làm tốt công tác báo chí đối ngoại, ngoại giao văn hóa, công tác đối với người Việt Nam ở nước ngoài, v.v.","Chúng tôi sẽ nâng cao hơn nữa công tác thông tấn đối ngoại, ngoại giao văn hóa, công tác người Việt Nam ở nước ngoài, v.v.”"
22,vi-zh-2022-test-0022,范明政表示，相信以全民族大团结及人民对党的领导的信心，越南必将击退疫情，复苏和发展经济社会，推动国家在革新、融入与发展道路上稳步前进。,"Người đứng đầu Chính phủ tin tưởng với sức mạnh đại đoàn kết toàn dân tộc và niềm tin của Nhân dân vào sự lãnh đạo của Đảng, nhất định Việt Nam sẽ sớm đẩy lùi dịch bệnh để phục hồi và phát triển KTXH, đưa đất nước vững bước tiến lên trên con đường đổi mới, hội nhập và phát triển.","Phạm Minh Chính bày tỏ tin tưởng rằng, với sự đoàn kết toàn dân tộc và niềm tin của nhân dân vào sự lãnh đạo của Đảng, Việt Nam nhất định sẽ đẩy lùi dịch bệnh, phục hồi và phát triển kinh tế - xã hội, đưa đất nước vững bước tiến trên con đường đổi mới, hội nhập và phát triển.","Phạm Minh Chính bày tỏ tin tưởng với sự đoàn kết to lớn của toàn dân tộc và sự tin tưởng của nhân dân vào sự lãnh đạo của Đảng, Việt Nam sẽ đẩy lùi dịch bệnh, phục hồi và phát triển kinh tế, xã hội, thúc đẩy đất nước vững bước trên con đường đổi mới, hội nhập và phát triển."
23,vi-zh-2022-test-0023,叙利亚政府和反对派日前正式同意在联合国的参与下开始修宪进程。,"Chính phủ Syria và phe đối lập vừa chính thức nhất trí khởi động tiến trình soạn thảo nội dung sửa đổi hiếp pháp, dưới sự tham gia của Liên Hợp Quốc.",Chính phủ Syria và phe đối lập mới đây đã chính thức đồng ý khởi động tiến trình sửa đổi hiến pháp dưới sự tham gia của Liên Hợp Quốc.,Chính phủ Syria và các đảng đối lập mới đây đã chính thức đồng ý bắt đầu quá trình sửa đổi hiến pháp với sự tham gia của Liên hợp quốc.
24,vi-zh-2022-test-0024,叙利亚宪法委员会在日内瓦举行的本轮磋商计划持续一周，希望达成全面、长期的法律基础，解决叙利亚各党派的分歧，为更广泛的政治进程敞开大门。,"Vòng đàm phán Ủy ban Hiến pháp Syria (SCC) tiến hành tại Geneva lần này dự kiến kéo dài trong 1 tuần, với mong muốn đạt được một cơ sở pháp lý toàn diện, lâu dài, khắc phục sự khác biệt giữa các đảng phái tại Syria và mở ra cánh cửa cho một tiến trình chính trị rộng lớn hơn.","Vòng đàm phán lần này của Ủy ban Hiến pháp Syria tại Geneva dự kiến kéo dài một tuần, với hy vọng đạt được nền tảng pháp lý toàn diện và lâu dài, giải quyết những bất đồng giữa các bên tại Syria, mở đường cho một tiến trình chính trị rộng lớn hơn.","Vòng tham vấn hiện tại do Ủy ban Hiến pháp Syria tổ chức tại Geneva dự kiến ​​sẽ kéo dài trong một tuần, với hy vọng đạt được cơ sở pháp lý toàn diện và lâu dài, giải quyết những khác biệt giữa các đảng phái ở Syria và mở ra cánh cửa cho một tiến trình chính trị rộng lớn hơn."
25,vi-zh-2022-test-0025,过去2年，该委员会开了5次会，但由于反对派和叙利亚政府之间存在分歧，均未取得进展，尽管该中东国家数百万人须等待新宪法生效后才能举行全国大选。,"Trong 2 năm qua, ủy ban này đã nhóm họp 5 lần, nhưng kết quả thu lại không đáng kể do các bất đồng giữa phe đối lập và Chính phủ Syria, bất chấp việc hàng triệu người dân quốc gia Trung Đông vẫn đang mòn mỏi chờ đợi một cuộc bầu cử quy mô toàn quốc, vốn chỉ được tiến hành sau khi có hiến pháp mới.","Trong 2 năm qua, ủy ban này đã họp 5 lần, nhưng do những bất đồng giữa phe đối lập và chính phủ Syria, không có tiến triển nào đạt được, mặc dù hàng triệu người dân nước này đang chờ đợi cuộc tổng tuyển cử diễn ra sau khi hiến pháp mới có hiệu lực.","Ủy ban đã họp năm lần trong hai năm qua nhưng không đạt được tiến bộ nào do sự khác biệt giữa phe đối lập và chính phủ Syria, ngay cả khi hàng triệu người dân ở quốc gia Trung Đông này phải chờ hiến pháp mới có hiệu lực trước khi các cuộc bầu cử quốc gia được tổ chức."
26,vi-zh-2022-test-0026,因此，观察人士希望本轮对话有助于叙利亚制定双方都能接受的新宪法。,"Vì vậy, giới quan sát hy vọng vòng đối thoại lần này giúp Syria có một bản hiến pháp mới mà các bên cùng có thể chấp nhận.","Vì vậy, các nhà quan sát hy vọng vòng đối thoại lần này sẽ giúp Syria soạn thảo một hiến pháp mới mà cả hai bên đều có thể chấp nhận.","Vì vậy, giới quan sát hy vọng vòng đối thoại này sẽ giúp Syria xây dựng một hiến pháp mới được cả hai bên chấp nhận."
27,vi-zh-2022-test-0027,叙利亚10多年的冲突中，西方国家、阿拉伯国家与支持叙利亚政府的俄罗斯、中国和伊朗之间存在深刻分歧。,"Hơn 10 năm xung đột ở Syria, với sự bất đồng sâu sắc giữa một bên là các nước phương Tây cùng khối Arab và bên kia là Nga, Trung Quốc và Iran.","Trong cuộc xung đột kéo dài hơn một thập kỷ tại Syria, các nước phương Tây, các quốc gia Ả Rập và Nga, Trung Quốc, Iran ủng hộ chính phủ Syria đã tồn tại những bất đồng sâu sắc.","Trong cuộc xung đột kéo dài hơn 10 năm ở Syria, đã có sự khác biệt sâu sắc giữa các nước phương Tây, các nước Ả Rập và Nga, Trung Quốc, Iran ủng hộ chính phủ Syria."
28,vi-zh-2022-test-0028,目前，叙利亚政府已经夺回大部分领土的控制权，但基础设施遭到严重破坏，需要数十年或数百年的时间才能恢复。,"Đến nay, Chính phủ Syria đã giành lại gần hết quyền kiểm soát lãnh thổ nhưng hạ tầng cơ sở đã bị tàn phá nặng nề phải mất hàng chục hoặc hàng trăm năm sau mới phục hồi.","Hiện tại, chính phủ Syria đã giành lại quyền kiểm soát phần lớn lãnh thổ, nhưng cơ sở hạ tầng bị tàn phá nặng nề, cần nhiều thập kỷ hoặc thậm chí hàng thế kỷ để phục hồi.","Chính phủ Syria đã giành lại quyền kiểm soát phần lớn lãnh thổ, nhưng cơ sở hạ tầng đã bị hư hại nghiêm trọng và sẽ phải mất hàng thập kỷ hoặc thế kỷ để phục hồi."
29,vi-zh-2022-test-0029,令人担忧的是，儿童是叙利亚长期冲突中最大的受害者。,"Đáng quan ngại, là trẻ em chính là nạn nhân chịu ảnh hưởng lớn nhất trong cuộc xung đột kéo dài ở Syria.",Điều đáng lo ngại là trẻ em là những nạn nhân lớn nhất trong cuộc xung đột kéo dài ở Syria.,Điều đáng lo ngại là trẻ em là nạn nhân lớn nhất trong cuộc xung đột kéo dài ở Syria.
30,vi-zh-2022-test-0030,据联合国儿童基金会的报告，过去10年，超过100万儿童在叙利亚境外的难民营出生，350万儿童失学，90%的叙利亚儿童急需救济。,"Theo báo cáo của Quỹ Nhi đồng Liên Hợp Quốc, trong vòng 10 năm qua, hơn 1 triệu trẻ em được sinh ra trong các trại tị nạn ngoài Syria, 3,5 triệu trẻ em thất học, 90% trẻ em Syria đang rất cần được hỗ trợ cả về vật chất và tâm lý.","Theo báo cáo của Quỹ Nhi đồng Liên Hợp Quốc, trong 10 năm qua, hơn 1 triệu trẻ em đã chào đời tại các trại tị nạn bên ngoài Syria, 3,5 triệu trẻ em không được đến trường và 90% trẻ em Syria đang rất cần viện trợ nhân đạo.","Theo báo cáo của Quỹ Nhi đồng Liên hợp quốc, hơn 1 triệu trẻ em đã được sinh ra trong các trại tị nạn bên ngoài Syria trong 10 năm qua, 3,5 triệu trẻ em không được đến trường và 90% trẻ em Syria đang cần được cứu trợ khẩn cấp."
31,vi-zh-2022-test-0031,而叙利亚冲突每天都在继续。,"Trong khi đó, xung đột ở Syria vẫn tiếp tục diễn ra hàng ngày.",Và cuộc xung đột ở Syria vẫn tiếp diễn hàng ngày.,Và cuộc xung đột ở Syria vẫn tiếp diễn mỗi ngày.
32,vi-zh-2022-test-0032,这令人担忧，尽管得到了许多国际组织和有关国家的支持，但叙利亚恢复和平仍然是一个难题。,"Điều này làm dấy lên quan ngại mặc dù được nhiều tổ chức quốc tế và các quốc gia liên quan quan tâm hỗ trợ, tuy nhiên, việc lập lại hòa bình cho Syria vẫn còn là bài toán khó.","Điều này thật đáng lo ngại, mặc dù đã nhận được sự ủng hộ của nhiều tổ chức quốc tế và các quốc gia liên quan, nhưng việc khôi phục hòa bình cho Syria vẫn là một thách thức lớn.","Điều này thật đáng lo ngại. Bất chấp sự hỗ trợ của nhiều tổ chức quốc tế và các nước liên quan, việc khôi phục hòa bình ở Syria vẫn là một bài toán khó."
33,vi-zh-2022-test-0033,越南政府颁布关于“安全、灵活适应并有效控制新冠肺炎疫情”的第128号决议后，各部门、各地方迅速从“封闭”模式转为“新常态”模式。,"Sau khi chính phủ Việt Nam ban bố nghị quyết 128 “thích ứng an toàn, linh hoạt, kiểm soát hiệu quả dịch Covid-19”, mhiều bộ, ngành, địa phương tại Việt Nam nhanh chóng chuyển từ trạng thái “đóng cửa” sang trạng thái thích ứng bình thường mới.","Sau khi Chính phủ Việt Nam ban hành Nghị quyết số 128 về ""An toàn, linh hoạt thích ứng và kiểm soát hiệu quả dịch COVID-19"", các bộ, ngành, địa phương đã nhanh chóng chuyển đổi từ trạng thái ""đóng băng"" sang trạng thái ""bình thường mới"".","Sau khi Chính phủ ban hành Nghị quyết số 128 về “Thích ứng an toàn, linh hoạt và kiểm soát hiệu quả dịch bệnh Covid-19”, nhiều sở, ngành, địa phương đã nhanh chóng chuyển từ chế độ “đóng cửa” sang chế độ “bình thường mới”."
34,vi-zh-2022-test-0034,九龙江平原地区集中防控疫情3个月后，多个省市目前已经基本控制了疫情。,"Tại đồng bằng sông Cửu Long, sau 3 tháng tập trung phòng, chống dịch Covid-19, đến nay nhiều tỉnh đã cơ bản kiểm soát được dịch.","Sau 3 tháng tập trung phòng chống dịch tại vùng đồng bằng sông Cửu Long, nhiều tỉnh thành hiện đã cơ bản kiểm soát được dịch bệnh.","Ba tháng sau khi phòng chống dịch tập trung ở đồng bằng Cửu Long Giang, nhiều tỉnh, thành phố hiện đã cơ bản kiểm soát được dịch bệnh."
35,vi-zh-2022-test-0035,其中，同塔省约有200家企业已恢复活动。,"Trong đó, riêng tỉnh Đồng Tháp, hiện có hơn 200 doanh nghiệp đã dần sản xuất trở lại.","Trong đó, tỉnh Đồng Tháp có khoảng 200 doanh nghiệp đã hoạt động trở lại.","Trong đó, khoảng 200 doanh nghiệp ở tỉnh Đồng Tháp đã hoạt động trở lại."
36,vi-zh-2022-test-0036,落实第128号决议，谅山省为口岸商品通关活动安全、快速进行提供便利条件，确保实现防控疫情、发展经济“双胜利”。,"Triển khai thực hiện Nghị quyết 128, tỉnh Lạng Sơn đã và đang tạo điều kiện thuận lợi để hoạt động thông quan hàng hóa qua cửa khẩu diễn ra an toàn, nhanh chóng, đảm bảo thực hiện mục tiêu kép vừa phòng chống dịch vừa phục hồi phát triển kinh tế.","Để thực hiện Nghị quyết số 128, tỉnh Lạng Sơn đã tạo điều kiện thuận lợi cho hoạt động thông quan hàng hóa tại cửa khẩu diễn ra an toàn, nhanh chóng, đảm bảo đạt được ""thắng lợi kép"" trong công tác phòng chống dịch bệnh và phát triển kinh tế.","Thực hiện Nghị quyết số 128, tỉnh Lạng Sơn tạo điều kiện thuận lợi cho hoạt động thông quan hàng hóa tại cảng diễn ra an toàn, nhanh chóng, bảo đảm “chiến thắng kép” trong công tác phòng, chống dịch bệnh và phát triển kinh tế."
37,vi-zh-2022-test-0037,交通运输部副部长黎庭寿说：“货运和客运是我部最主要的2个领域。,Thứ trưởng Lê Đình Thọ khẳng định: “Ngành giao thông có 2 lĩnh vực chính là: vận tải hàng hóa và vận tải hành khách.,"Thứ trưởng Bộ Giao thông Vận tải Lê Đình Thọ cho biết: ""Vận tải hàng hóa và vận tải hành khách là hai lĩnh vực chính yếu nhất của Bộ chúng tôi.""",Thứ trưởng Bộ GTVT Lê Đình Thọ cho biết: “Vận tải hàng hóa và hành khách là hai lĩnh vực quan trọng nhất của Bộ chúng ta.
38,vi-zh-2022-test-0038,现在落实第128号决议，我们将审视、颁布新规定，确保符合决议目的、要求及卫生部相关防疫规定。,"Khi triển khai Nghị quyết 128, chúng tôi rà soát, ban hành quy định mới để phù hợp với mục đích yêu cầu, đặc biệt là quy định mới của Bộ y tế.","Hiện tại, để thực hiện Nghị quyết số 128, chúng tôi sẽ xem xét và ban hành các quy định mới, đảm bảo tuân thủ mục đích, yêu cầu của nghị quyết cũng như các quy định phòng chống dịch bệnh liên quan của Bộ Y tế.","Nay để thực hiện Nghị quyết số 128, chúng ta sẽ rà soát, ban hành các quy định mới bảo đảm đúng mục đích, yêu cầu của Nghị quyết và các quy định phòng chống dịch có liên quan của Bộ Y tế."
39,vi-zh-2022-test-0039,巴地头顿省人民委员会副主席陈文俊表示，该省正逐步从防控疫情状态转为安全适应状态。,"Theo ông Trần Văn Tuấn, Phó Chủ tịch UBND tỉnh Bà Rịa – Vũng Tàu, tỉnh đang chuyển trang thái từ chống dịch sang phòng dịch và thích ứng an toàn.","Phó Chủ tịch Ủy ban Nhân dân tỉnh Bà Rịa - Vũng Tàu, ông Trần Văn Tuấn, cho biết tỉnh đang dần chuyển từ trạng thái kiểm soát dịch bệnh sang trạng thái thích ứng an toàn.","Ông Trần Văn Tuấn, Phó Chủ tịch UBND tỉnh Bà Rịa-Vũng Tàu, cho biết tỉnh đang dần chuyển từ trạng thái phòng, chống dịch sang trạng thái thích ứng an toàn."
